,RSZYD17042756_A,RSZYD17042757_A,RSZYD17042759_A,RSZYD17042760_A,RSZYD17042761_A,RSZYD17042762_A,RSZYD17042763_A,RSZYD17042764_A,RSZYD17042765_A,RSZYD17042766_A,RSZYD17042767_A,RSZYD17042768_A,RSZYD17042769_A,RSZYD17042770_A,RSZYD17042771_A,RSZYD17042773_A,RSZYD17042774_A,RSZYD17042775_A,RSZYD17042776_A,RSZYD17042777_A,RSZYD17042778_A,RSZYD17042779_A,RSZYD17042780_A,RSZYD17042782_A,RSZYD17042783_A,RSZYD17042784_A,RSZYD17042785_A,RSZYD17042786_A,RSZYD17042789_A,RSZYD17042790_A,RSZYD17042792_A,RSZYD17042793_A,RSZYD17042795_A,RSZYD17042796_A,RSZYD17042797_A,RSZYD17042798_A,RSZYD17042799_A,RSZYD17042801_A,RSZYD17042803_A,RSZYD17042805_A,RSZYD17042809_A,RSZYD17042810_A,RSZYD17042811_A,RSZYD17042813_A,RSZYD17042816_A,RSZYD17042817_A,RSZYD17042818_A,RSZYD17042821_A,RSZYD17042822_A,RSZYD17050346_A
K00031,0.000240352377483536,0.000234662834148637,0.00019588779614638,0.000208438405053934,0.000196066793443105,0.000212465412383221,0.000241682056088454,0.000172828806765742,0.000186946828820381,0.000199109455241641,0.000212566386584113,0.000245483138214752,0.000257698528870332,0.000217635048055438,0.000187413632382611,0.000248405699195426,0.000177188773572155,0.00025852756762606,0.000175699835730984,0.000240068572469865,0.000162281741897335,0.000214411473607033,0.000166596394714538,0.000290359952514264,0.000220002318306538,0.000282770558591585,0.000303151514434084,0.000185325132754856,0.000186960291538337,0.000234857218889952,0.000172296361104359,0.000213272692620999,0.00024101766597745,0.00021931236497496,0.000193653034581404,0.000197197101703549,0.000266432141697451,0.000287275604395883,0.000189378634463696,0.000176846293665089,0.00020230617973449,0.00029227596953143,0.000159619683847341,0.0001833346163516,0.000174154365850799,0.000223030212846377,0.000234434751553981,0.000173998533127068,0.000216981865424917,0.000157595597512558
K00033,7.83968551405835e-05,0.000111526105618646,0.000109234655987968,8.81353688987274e-05,5.30127592963953e-05,0.000160455334110574,0.000176662252543176,0.00015304971267232,9.13283254811199e-05,8.56181419489442e-05,8.57367895655142e-05,4.10817865166121e-05,1.99277686220841e-05,3.34530380944119e-05,0.000129647098132316,5.3610281447393e-05,0.000101414313258901,2.95143979070802e-05,0.000143614679190469,5.30816241685395e-05,0.000139580545391078,8.83888399580229e-05,0.000102790501288476,8.80087279904627e-06,9.88238273237286e-05,3.13723543231325e-05,2.42855548482901e-05,0.000138211897139386,7.29923029373097e-05,9.99822148032296e-05,0.000134276939667391,0.000151130114065294,5.46001177550539e-05,7.93028734286492e-05,0.000121457427287674,0.000153175341873336,3.04447909623793e-05,2.90309594984824e-05,0.000141250792418775,0.000152187882212995,8.35117497198152e-05,3.81966686221186e-05,0.000142609149926014,0.00014672950937967,0.000152899100880323,0.000204520460950386,3.51824421677584e-05,0.000174311158409407,4.1910119113296e-05,0.000156128628964089
K00036,7.84630875495984e-05,0.000108353785587003,9.00073860671911e-05,8.60782267489552e-05,4.75994168619494e-05,0.000148847148389875,0.000165854793723027,0.000142307855094047,8.13876223369106e-05,8.31830843226696e-05,8.12234963264284e-05,3.10565597323847e-05,1.48388231198309e-05,3.18665001402888e-05,0.000118386149979643,4.96390658069708e-05,9.79892922842036e-05,2.36091883757953e-05,0.000125058115019335,5.16080379144216e-05,0.000133396762873931,8.66848425245917e-05,9.78343152121359e-05,8.3965499627691e-06,0.000128379430714478,2.89093650872471e-05,2.64108304760788e-05,0.000129284347317869,6.15498081966615e-05,9.00510109292605e-05,0.000132029019281017,0.00015232006545508,5.07804460603502e-05,7.32564187190041e-05,0.000116820363435536,0.000160907652674972,3.17522164935065e-05,3.26965905914309e-05,0.000140219593736753,0.000163353511697231,6.70932769784235e-05,3.37746977611741e-05,0.00012688761093779,0.000146553628928306,0.00015503589102119,0.00020521884398138,3.67273942448699e-05,0.000171883685141245,3.20496807035363e-05,0.00017274368960031
K00037,1.59638952059236e-06,4.52426539601506e-06,1.02539997508913e-05,2.22582226222634e-05,9.12069754649886e-06,1.5533348458239e-06,6.73657906949382e-06,3.26948619249368e-06,1.02398100960308e-05,8.21569502491571e-06,9.35469440471051e-07,7.69826197877305e-06,1.20532745159745e-05,5.2010757921028e-06,3.66170207495296e-06,2.80683584823126e-06,1.03760321339961e-05,5.53414741303806e-07,9.39597303805451e-06,4.46880864710964e-06,1.1359272713856e-06,1.78305282315286e-06,1.01545412436304e-05,1.74235946187377e-06,2.96354701888463e-06,4.60206277563931e-06,1.75844512443967e-06,6.80288077220141e-06,1.58785957478281e-05,1.76160721139424e-06,1.63145042684148e-05,5.65835383205054e-06,2.50069828390842e-06,1.23601451605706e-05,3.8126559295871e-06,2.49070674183186e-05,1.65784422114223e-05,1.0291336973536e-05,3.81341125034444e-06,3.61550990576213e-06,2.18056572561295e-05,1.28507049149023e-05,2.60571558442503e-05,4.19420022827984e-06,4.82773536721548e-06,2.82456471212509e-06,2.43372327755458e-05,5.87917729597135e-06,6.07354975711771e-06,7.87140858473503e-06
K00040,4.13832387079264e-05,2.39633057168114e-05,0.000108379241721541,5.43534068292451e-05,6.56123936267761e-05,1.43130633326733e-05,3.4308060116387e-05,9.57324585726312e-05,7.41752891928585e-05,4.65595854869019e-05,0.000213762033376369,4.78823412147822e-05,0.000134980852882223,6.88911857272617e-05,4.37834472040658e-05,0.00012809539540308,4.55521966494871e-05,0.000110540271565972,2.10633647170273e-05,0.000106393079413054,2.48427560655683e-05,3.99822277527368e-05,3.59956768247387e-05,0.000195193905097371,0.000146018461123194,0.000178925139047227,0.000140514535411301,7.07185356526557e-05,0.000107156166763268,6.47345373131764e-05,6.10655796992901e-05,4.21397394638871e-05,0.000130726664712598,5.85148774073097e-05,2.7055117206009e-05,4.09651791148315e-05,0.000105659376695921,0.000161876731095698,4.50247288839542e-05,1.48608375788979e-05,6.20054048388621e-05,0.000110016452309951,2.51399382576794e-05,4.40286912767538e-05,2.37952602267004e-05,2.16139988323496e-05,0.000117529271802667,2.20106521662246e-05,0.000123257330978179,1.33250203784689e-05
K00041,0.000179528420946218,0.000103137675149438,0.000200133800326508,0.000128175699884589,0.000169141504625617,0.000140466903203061,0.000156897142227837,0.000139194205563315,0.000171481268743544,0.000140103032771281,0.000183591644508676,0.000155410588303666,0.000205393218629537,0.000358803202759449,0.000163210850051327,0.000252115015696099,0.000142237880788129,0.000218435794306028,0.000113463651699187,0.000292635894865326,0.000131871811864085,0.000144415480964246,7.23370742380401e-05,0.000290248524892091,0.000202141362851425,0.000334544496926481,0.000323743077120031,0.000196029007703435,0.000154646786619227,0.000108540005287214,0.000171963555592624,0.000134136844638373,0.000197678619788161,0.000135228301579106,0.000151771905943421,0.000158196836994138,0.000349372761415968,0.000187688137014053,0.0001704678109225,0.00015962394243638,0.000157139986190564,0.000222344065229883,0.000202647694133225,0.000164353392882513,0.000151940793470519,0.000169793032378462,0.000240318468111248,0.000253329015550827,0.000178178877454332,0.000164387626354916
K00051,4.62221207839215e-08,2.64121011186647e-07,1.10706690518948e-05,1.18814040341859e-06,9.15932100270358e-06,0,0,0,0,5.03463309785056e-06,0,0,1.97180229281366e-06,8.31357244035667e-07,1.5134590401269e-07,0,5.1807255068594e-06,5.19126707909989e-08,2.54086391631687e-06,5.72651280925803e-07,2.96207250290283e-06,4.47903223872838e-08,1.4301024775518e-06,0,0,0,1.29513805609121e-07,0,1.93624357800609e-06,0,2.61111928642645e-07,0,0,3.95765226132692e-06,0,6.92129164135635e-07,1.00663030986843e-06,6.09496380698463e-07,0,0,5.03682748179796e-06,1.00521778994084e-06,0,0,0,0,2.47924961418509e-06,0,3.82714742244701e-06,0
K00052,0.000247968298638756,0.000164615621311518,0.000285923630437475,0.000248106812853555,0.000171626099879959,0.000256138123897399,0.000246444368750274,0.000215166691762458,0.000257482280201601,0.000235635616925891,0.000260027033249831,0.000305902630618113,0.00022778031533442,0.000215306917352794,0.000227770773056725,0.000253101598187776,0.000218132136001474,0.00024709992417196,0.000228245823998148,0.000241626490758221,0.000207498821504261,0.00024511477523256,0.000199319960639192,0.000244976572366074,0.000164586924314209,0.000224097674218138,0.000213088314955704,0.000225932113167296,0.000225937238724124,0.000153334108514907,0.000233097286403492,0.000206594417267717,0.000190121896148398,0.000278689970547148,0.000231578235384638,0.000221626010152322,0.000204755116513547,0.000204766780154057,0.000211254651279357,0.000212232467365488,0.000245409189205652,0.000238175922797775,0.000215225785819808,0.000225842936249405,0.00018736874177274,0.000232803033954434,0.000235707001168365,0.000216423334592876,0.000213661712078835,0.00020377420351817
K00053,0.000225035663561985,0.000159327580634354,0.000241248941116253,0.000233920321505615,0.000189173438650416,0.000215887357706045,0.000229204799711014,0.000183851565481175,0.000235655578382653,0.00020726603188955,0.000297451585492313,0.000248915499017466,0.000255707409695533,0.000223163748714266,0.00021998674102056,0.000265773394471391,0.000204201615447149,0.000240482936186994,0.000217255110537028,0.000239599373848473,0.000200473783765273,0.000227164407604437,0.000181461562233279,0.000266528642508418,0.000232495744508059,0.000235327391424251,0.000278006848836123,0.000235150571265421,0.000229244813879899,0.000151906918272429,0.000219396477701783,0.000182619267100184,0.00021267163879205,0.000239647840739935,0.000211002349382975,0.000204295301454729,0.000243969453888849,0.0001812507841622,0.000189144591981965,0.000197936461873754,0.000220133512605116,0.000227551817929371,0.000195302239652001,0.000200886973898494,0.000191591842048247,0.000222173772537282,0.000218147531781867,0.000186413202140173,0.000172628183512109,0.000195341564335727
K00058,0.000238063546527243,0.000306139064096782,0.0005590309913302,0.000367427907969607,0.000391744915520313,0.000235969806211414,0.000276823507939011,0.000194251594316141,0.000362981708833601,0.000438980467526876,0.000288299419704149,0.000370457461366034,0.000326479456529611,0.000300462318057195,0.000275512910237046,0.00025064675229877,0.00038644733560213,0.000329843782710021,0.000382577185939021,0.000219781565619909,0.0002891824603722,0.000230469273634019,0.000398382858402644,0.000232519438996592,0.00021172460320303,0.000228802789190674,0.000203190100318505,0.000269318613932602,0.000304837264425038,0.000293880382390197,0.000278698888449059,0.000204259703533291,0.000213518177958032,0.000311739121174417,0.000266783401851592,0.000259626124938545,0.000279937594119938,0.000249580620683626,0.000250642909389063,0.00022418853287321,0.000408977955519537,0.000323970316070526,0.000255025760831464,0.000274931678365142,0.0002707790389669,0.000262896869558316,0.000362689986147157,0.000202373946608098,0.000353763499682026,0.000174352363483905
