,p.value,Case_rank,Control_rank,Enrichment,qnorm,Case_Mean1,Control_Mean1,Case_Mean2,Control_Mean2,OR,lower,uper,com,FDR
K02036,0.205344088515694,23,28,Control,-1.27,-1.6764,2.6501,-0.194774056281358,0.179791436567407,1.4802,0.8257,2.6537,1.4802 (0.8257;2.6537),0.546935439553649
K02037,0.128226419443286,22,29,Control,-1.52,-1.2618,2.4164,-0.233732200953036,0.215752800879726,1.61,0.8886,2.917,1.61 (0.8886;2.917),0.460468036595059
K02038,0.359509277766631,24,27,Control,-0.92,-1.9318,2.5042,-0.186910446061876,0.172532719441731,1.4563,0.8131,2.6082,1.4563 (0.8131;2.6082),0.716468844343428
K02040,0.234661698866164,28,23,Case,1.19,2.4612,-1.6422,0.192425683125517,-0.177623707500476,0.676,0.3738,1.2226,0.676 (0.3738;1.2226),0.583539268861877
K02041,0.020441496121948,21,30,Control,-2.3,-2.901,3.3739,-0.0953366353751764,0.0880030480386244,1.2267,0.6507,2.3124,1.2267 (0.6507;2.3124),0.242798568658306
K02042,0.0633067318046942,22,29,Control,-1.85,-0.9854,2.2686,-0.222946379425222,0.205796657930974,1.6907,0.8251,3.4645,1.6907 (0.8251;3.4645),0.338841745468935
K02044,0.0227450588424616,21,30,Control,-2.26,-3.3466,3.6085,-0.0872304966692854,0.0805204584639558,1.1988,0.6534,2.1995,1.1988 (0.6534;2.1995),0.242798568658306
K02045,0.212415816646397,23,28,Control,-1.25,-3.8913,4.7694,-0.0768844766607319,0.070970286148368,1.1676,0.653,2.0876,1.1676 (0.653;2.0876),0.556539342448835
K02046,0.38019646578622,24,27,Control,-0.88,-2.5051,4.0651,-0.100981649874174,0.0932138306530837,1.2309,0.6767,2.2389,1.2309 (0.6767;2.2389),0.733003134723347
K02047,0.301718405696185,23,28,Control,-1.04,-3.1583,4.5167,-0.0838025879029179,0.0773562349873087,1.1865,0.657,2.1427,1.1865 (0.657;2.1427),0.654693992282842
K02048,0.481825693345,24,27,Control,-0.71,4.5706,-2.4362,0.0718349993957527,-0.0663092302114641,0.8636,0.4746,1.5717,0.8636 (0.4746;1.5717),0.809524782241824
K02049,0.16642009212642,22,28,Control,-1.39,-0.843,2.3489,-0.260473249447822,0.240436845644144,1.76,0.9251,3.3485,1.76 (0.9251;3.3485),0.512482694657797
K02050,0.105327374677274,22,29,Control,-1.62,-0.8878,2.3238,-0.257657887832532,0.237838050306952,1.7363,0.9225,3.2682,1.7363 (0.9225;3.2682),0.432072880062978
K02051,0.242424509473753,23,28,Control,-1.17,-1.8994,3.4012,-0.165530039967057,0.152796959969591,1.3948,0.7808,2.4918,1.3948 (0.7808;2.4918),0.591074075159433
K02052,0.915715300438421,25,26,Control,-0.11,7.3711,-5.3401,0.0610560543058259,-0.0563594347438393,0.8869,0.5051,1.5573,0.8869 (0.5051;1.5573),0.989676920858447
K02053,0.481825693345,27,24,Case,0.71,2.6136,-0.9463,0.173186077359836,-0.15986407140908,0.6639,0.3172,1.3897,0.6639 (0.3172;1.3897),0.809524782241824
K02054,0.930998043449749,26,25,Case,0.09,2.5766,-0.6981,0.1480740787678,-0.136683765016431,0.6894,0.3032,1.5678,0.6894 (0.3032;1.5678),0.992208704748446
K02055,0.212415816646397,28,23,Case,1.25,2.1095,-0.546,0.239609984030477,-0.221178446797363,0.5211,0.2189,1.2407,0.5211 (0.2189;1.2407),0.556539342448835
K02056,0.0691680989243748,22,29,Control,-1.82,-1.2016,2.4342,-0.234528578777132,0.216487918871199,1.6352,0.8841,3.0243,1.6352 (0.8841;3.0243),0.350202446806294
K02057,0.0342945685528998,21,30,Control,-2.11,-0.6156,1.9974,-0.339316288119725,0.313215035187439,2.074,1.0934,3.9342,2.074 (1.0934;3.9342),0.275336393238996
K02058,0.292712954819136,23,28,Control,-1.06,-15.1299,13.4776,-0.0198623553956584,0.0183344819036847,1.04,0.5916,1.828,1.04 (0.5916;1.828),0.650216128886776
K02059,0.937053597756462,26,25,Case,0.08,-2.5959,4.8989,-0.0599035427299244,0.0552955779045456,1.1327,0.6168,2.0803,1.1327 (0.6168;2.0803),0.992208704748446
K02062,0.861260586279555,26,25,Case,0.17,1.9367,-0.1047,0.190744873068163,-0.176072190524459,0.2459,0.0214,2.822,0.2459 (0.0214;2.822),0.989676920858447
K02063,0.292712954819136,28,23,Case,1.06,1.8003,-0.1058,0.23392160689313,-0.21592763713212,0.1538,0.018,1.3133,0.1538 (0.018;1.3133),0.650216128886776
K02064,0.382200724179777,27,24,Case,0.87,1.8124,-0.1083,0.240675830298054,-0.222162304890511,0.1912,0.0243,1.5025,0.1912 (0.0243;1.5025),0.734554501237231
K02065,0.0552756379895714,30,22,Case,1.91,1.8199,-1.0051,0.289943594664362,-0.267640241228643,0.5425,0.2903,1.014,0.5425 (0.2903;1.014),0.321300219230542
K02066,0.0605307709448935,30,22,Case,1.87,1.7098,-1.017,0.302821086388835,-0.279527156666617,0.524,0.2777,0.9887,0.524 (0.2777;0.9887),0.333512679127747
K02067,0.0633067318046942,30,22,Case,1.85,1.9711,-1.3816,0.251186871544516,-0.23186480450263,0.5959,0.3257,1.0904,0.5959 (0.3257;1.0904),0.338841745468935
K02068,0.736234900362807,26,25,Case,0.34,6.8277,-6.036,0.0602977703801494,-0.0556594803509072,0.8882,0.5057,1.56,0.8882 (0.5057;1.56),0.9522762117466
K02069,0.556880713160731,27,24,Case,0.59,4.9873,-3.862,0.102734213128573,-0.0948315813494524,0.8166,0.464,1.4369,0.8166 (0.464;1.4369),0.864549615459477
K02071,0.0437527291463828,21,30,Control,-2.01,-1.1221,2.3887,-0.238374933655432,0.220038400297321,1.6587,0.8882,3.0978,1.6587 (0.8882;3.0978),0.294479446470265
K02072,0.039738255822051,21,30,Control,-2.05,-1.1554,2.398,-0.235501803022654,0.217386279713219,1.6595,0.8797,3.1305,1.6595 (0.8797;3.1305),0.282694933822692
K02073,0.266769187406626,23,28,Control,-1.12,-4.5877,5.5145,-0.0729514638500471,0.0673398127846586,1.1587,0.6471,2.0745,1.1587 (0.6471;2.0745),0.625904407241043
K02074,0.310902987491349,28,23,Case,1.02,3.0269,-1.7143,0.164471821646168,-0.151820143058001,0.7139,0.3919,1.3006,0.7139 (0.3919;1.3006),0.66436303790927
K02075,0.750801123888555,26,25,Case,0.32,2.9463,-1.2114,0.19871525021985,-0.1834294617414,0.6658,0.3653,1.2135,0.6658 (0.3653;1.2135),0.955719663930618
K02077,0.870072108910591,26,25,Case,0.17,164.8403,-173.4478,0.00251133445301295,-0.00231815487970416,0.9951,0.5682,1.7428,0.9951 (0.5682;1.7428),0.989676920858447
K02108,0.556880713160731,24,27,Control,-0.59,-2.4144,4.3973,-0.113627424539932,0.104886853421475,1.2583,0.7016,2.2565,1.2583 (0.7016;2.2565),0.864549615459477
K02109,0.320266731075524,23,28,Control,-1,-1.3237,2.9386,-0.179084229646626,0.165308519673809,1.4562,0.7872,2.6939,1.4562 (0.7872;2.6939),0.676653770167085
K02110,0.678941086483524,25,26,Control,-0.42,-14.2836,13.5368,-0.02862585338626,0.0264238646642396,1.0579,0.6033,1.8549,1.0579 (0.6033;1.8549),0.937505873719264
K02111,0.178737668236209,23,28,Control,-1.35,-1.2258,2.4667,-0.216670210054769,0.200003270819787,1.5658,0.8545,2.8695,1.5658 (0.8545;2.8695),0.516455370430589
K02112,0.493947817024109,24,27,Control,-0.69,-2.2202,3.9971,-0.131548771803752,0.121429635511155,1.3064,0.7256,2.3522,1.3064 (0.7256;2.3522),0.818875142087166
K02113,0.349431245115393,23,27,Control,-0.94,-2.1328,3.6015,-0.130168112060571,0.120155180363603,1.3057,0.7202,2.3671,1.3057 (0.7202;2.3671),0.703872257185845
K02114,0.0894115491761765,22,29,Control,-1.7,-0.7119,1.8966,-0.283429836066117,0.261627540984108,1.9084,0.9579,3.8017,1.9084 (0.9579;3.8017),0.394112083427539
K02115,0.543993635325268,24,27,Control,-0.61,-2.0375,4.0478,-0.126477461174868,0.116748425699877,1.2953,0.7154,2.3453,1.2953 (0.7154;2.3453),0.859984312384812
K02117,0.154740451620766,22,28,Control,-1.43,-1.6544,2.2871,-0.213795165028428,0.197349383103164,1.5407,0.8561,2.7728,1.5407 (0.8561;2.7728),0.499793872476267
K02118,0.0754590506315317,22,29,Control,-1.78,-1.0736,1.9704,-0.28369503427632,0.261872339331988,1.7979,0.9784,3.3039,1.7979 (0.9784;3.3039),0.366208439554539
K02119,0.00638836976315578,20,31,Control,-2.69,-0.6975,1.8444,-0.339017441395283,0.312939176672569,2.1255,1.0853,4.1628,2.1255 (1.0853;4.1628),0.239162502097615
K02120,0.118649191868006,22,29,Control,-1.56,-1.3797,2.0396,-0.252857667373104,0.233407077575172,1.6776,0.9224,3.0514,1.6776 (0.9224;3.0514),0.45361119612122
K02121,0.123366622011282,22,29,Control,-1.54,-1.443,2.3053,-0.233616450149415,0.215645953984075,1.6062,0.8899,2.899,1.6062 (0.8899;2.899),0.457637238088056
K02122,0.0110207695595817,20,30,Control,-2.51,-0.6275,1.8584,-0.346583837960186,0.319923542732479,2.1616,1.1026,4.2376,2.1616 (1.1026;4.2376),0.241203117614782
K02123,0.320266731075524,23,28,Control,-1,-1.8889,2.4518,-0.202641202629127,0.187053417811501,1.5024,0.8395,2.6885,1.5024 (0.8395;2.6885),0.676653770167085
K02124,0.369764612824605,24,27,Control,-0.9,-2.4736,2.9407,-0.160363865067431,0.148028183139167,1.376,0.7757,2.4411,1.376 (0.7757;2.4411),0.725332329519819
K02160,0.390803907241872,24,27,Control,-0.86,-5.8025,6.7124,-0.0640811083178986,0.0591517922934446,1.1353,0.6438,2.002,1.1353 (0.6438;2.002),0.734554501237231
K02193,0.839868412093286,26,25,Case,0.2,2.4494,-0.5755,0.166749550516977,-0.153922662015671,0.6176,0.2261,1.6865,0.6176 (0.2261;1.6865),0.989676920858447
K02194,0.961633067902556,25,26,Control,-0.05,2.1958,-0.2372,0.18243920780547,-0.168405422589665,0.4907,0.1116,2.1575,0.4907 (0.1116;2.1575),0.996198680481542
K02195,0.556880713160731,27,24,Case,0.59,6.135,-5.9121,0.0660965313012249,-0.0610121827395921,0.8781,0.4999,1.5423,0.8781 (0.4999;1.5423),0.864549615459477
K02203,0.0691680989243748,22,29,Control,-1.82,-0.7365,2.1043,-0.269285186725402,0.248570941592679,1.8103,0.9335,3.5106,1.8103 (0.9335;3.5106),0.350202446806294
K02204,0.518664530595882,24,27,Control,-0.65,22.4603,-17.7551,0.0191660167311575,-0.0176917077518377,0.9631,0.5499,1.6867,0.9631 (0.5499;1.6867),0.838818607755067
K02226,0.0857457078270006,22,29,Control,-1.72,-1.2206,2.5091,-0.223105623109347,0.205943652100936,1.595,0.8635,2.9463,1.595 (0.8635;2.9463),0.387060946174894
K02227,0.412541130682006,24,27,Control,-0.83,-2.4396,2.7294,-0.166205614895604,0.153420567595942,1.3933,0.7835,2.4778,1.3933 (0.7835;2.4778),0.750317525706432
K02231,0.707384603182297,25,26,Control,-0.38,-2.8032,3.1051,-0.147648069392705,0.136290525593267,1.3407,0.7569,2.3746,1.3407 (0.7569;2.3746),0.942229451210324
K02232,0.736234900362807,25,26,Control,-0.34,-4.1131,3.4002,-0.115644401334855,0.106748678155251,1.2569,0.7127,2.2169,1.2569 (0.7127;2.2169),0.9522762117466
K02233,0.900463086624313,25,26,Control,-0.13,-5.4336,4.7148,-0.0859691640048176,0.0793561513890619,1.1844,0.674,2.0812,1.1844 (0.674;2.0812),0.989676920858447
K02256,0.0793799622507891,22,29,Control,-1.75,-0.3243,2.0127,-0.266583461172862,0.246077041082642,2.6138,0.878,7.7812,2.6138 (0.878;7.7812),0.378063888007996
K02275,0.328270081464474,27,24,Case,0.98,3.339,-1.9071,0.139549268069812,-0.128814708987519,0.7526,0.4147,1.3659,0.7526 (0.4147;1.3659),0.678948563632942
K02291,0.134735880874209,22,28,Control,-1.5,-0.2655,2.1076,-0.304080452730412,0.280689648674227,2.2079,0.9404,5.1839,2.2079 (0.9404;5.1839),0.474743354553639
K02297,0.676169377051766,25,26,Control,-0.42,1.8631,-0.0016,0.180993221322698,-0.167070665836337,0.061,7e-04,5.5428,0.061 (7e-04;5.5428),0.937505873719264
K02298,0.899555744653761,25,26,Control,-0.13,1.8836,-9e-04,0.183869067687971,-0.169725293250435,0.1089,0.0027,4.4617,0.1089 (0.0027;4.4617),0.989676920858447
K02299,0.606356925206575,24,27,Control,-0.52,1.8753,-0.0023,0.178590330517063,-0.164852612784981,0.0899,0.0014,5.734,0.0899 (0.0014;5.734),0.894854786904452
K02300,0.619088666934318,27,24,Case,0.5,1.8207,0,0.183143394133663,-0.169055440738766,0.0391,3e-04,4.5679,0.0391 (3e-04;4.5679),0.897204640390537
K02301,0.89942354121354,25,26,Control,-0.13,1.8932,-0.0058,0.178206130193311,-0.164497966332287,0.1034,0.0018,5.7885,0.1034 (0.0018;5.7885),0.989676920858447
K02302,0.637115113015633,24,26,Control,-0.48,4.3487,-2.2128,0.0801975432602581,-0.0740285014710075,0.8498,0.4696,1.5379,0.8498 (0.4696;1.5379),0.909933147432746
K02303,0.613346059078893,24,27,Control,-0.51,-8.6555,9.7255,-0.0407460030546301,0.037611695127351,1.0839,0.6157,1.908,1.0839 (0.6157;1.908),0.896913846537222
K02304,0.178737668236209,23,28,Control,-1.35,-4.4663,4.4436,-0.0896499057652921,0.0827537591679619,1.1955,0.6748,2.1181,1.1955 (0.6748;2.1181),0.516455370430589
K02337,0.481825693345,24,27,Control,-0.71,-33.4135,28.1914,-0.0128492089345055,0.0118608082472366,1.0256,0.5853,1.797,1.0256 (0.5853;1.797),0.809524782241824
K02338,0.0294900839408638,21,30,Control,-2.17,-0.6507,2.0781,-0.298384411202605,0.275431764187021,1.8983,1.0003,3.6025,1.8983 (1.0003;3.6025),0.263070272615325
K02339,0.506228271280028,27,24,Case,0.67,1.8833,-0.089,0.20411803528388,-0.188416647954351,0.1922,0.0184,2.0113,0.1922 (0.0184;2.0113),0.825835380143326
K02340,0.178737668236209,23,28,Control,-1.35,-1.7062,2.6415,-0.20447300455372,0.188744311895742,1.5147,0.8404,2.7299,1.5147 (0.8404;2.7299),0.516455370430589
K02341,0.839868412093286,25,26,Control,-0.2,-2.3412,3.0566,-0.144636769304247,0.13351086397315,1.3367,0.7488,2.3861,1.3367 (0.7488;2.3861),0.989676920858447
K02342,0.678941086483524,26,25,Case,0.42,-9.4495,12.5546,-0.0316536204214397,0.0292187265428673,1.0643,0.6061,1.869,1.0643 (0.6061;1.869),0.937505873719264
K02343,0.138382343903378,22,28,Control,-1.49,-0.8824,1.9492,-0.287809844319248,0.26567062552546,1.8579,0.9769,3.5333,1.8579 (0.9769;3.5333),0.481553419651384
K02344,0.968957881574276,25,26,Control,-0.04,2.6443,-0.7888,0.156142650828013,-0.144131677687397,0.6707,0.2894,1.5546,0.6707 (0.2894;1.5546),0.99647828572355
K02345,0.883749027701038,25,26,Control,-0.15,1.8449,0,0.164658372072734,-0.151992343451754,0.0221,0,50.0149,0.0221 (0;50.0149),0.989676920858447
K02361,0.0131112603842614,31,21,Case,2.46,1.6147,-0.5568,0.382672734709834,-0.353236370501386,0.417,0.206,0.8442,0.417 (0.206;0.8442),0.241203117614782
K02371,0.105327374677274,22,29,Control,-1.62,-1.1898,2.1044,-0.262036691147439,0.241880022597636,1.7126,0.9385,3.1253,1.7126 (0.9385;3.1253),0.432072880062978
K02372,0.596394520949954,24,27,Control,-0.53,-10.8236,13.7365,-0.032402034623319,0.0299095704215231,1.0657,0.608,1.8679,1.0657 (0.608;1.8679),0.894854786904452
K02424,0.70491437101369,25,26,Control,-0.38,2.1578,-0.1879,0.154644307455208,-0.142748591497115,0.5758,0.1237,2.6791,0.5758 (0.1237;2.6791),0.942229451210324
K02446,0.434965980721867,27,24,Case,0.79,2.0895,-0.322,0.182137795473533,-0.168127195821722,0.4419,0.0777,2.5137,0.4419 (0.0777;2.5137),0.77603454338314
K02452,0.613635896785697,24,27,Control,-0.5,1.9138,-0.0092,0.165653091509798,-0.152910546009045,0.1383,0.001,19.7732,0.1383 (0.001;19.7732),0.896913846537222
K02453,0.609838760470472,24,27,Control,-0.51,3.8184,-1.7558,0.0882299495636748,-0.0814430303664692,0.8299,0.4408,1.5626,0.8299 (0.4408;1.5626),0.894854786904452
K02454,0.446432410141506,24,27,Control,-0.77,2.5206,-0.2942,0.160938885939655,-0.148558971636604,0.6342,0.2368,1.6985,0.6342 (0.2368;1.6985),0.779177063663125
K02455,0.992323823710657,25,26,Control,-0.01,2.2929,-0.3782,0.155063250355836,-0.143135308020772,0.628,0.2082,1.8942,0.628 (0.2082;1.8942),1
K02456,0.458065825779274,27,24,Case,0.75,2.0504,-0.305,0.196430712138769,-0.181320657358863,0.4365,0.0976,1.9514,0.4365 (0.0976;1.9514),0.790884774463754
K02457,0.992237634032964,25,26,Control,-0.01,1.8768,-0.0325,0.169487812106775,-0.156450288098562,0.1259,0.0014,11.6832,0.1259 (0.0014;11.6832),1
K02458,0.696598977128785,25,26,Control,-0.39,1.9061,-0.014,0.16495582357013,-0.152266914064736,0.1519,0.0011,21.2568,0.1519 (0.0011;21.2568),0.942210890845673
K02459,0.876299937458234,26,25,Case,0.16,1.86,-0.0031,0.177084843182941,-0.163462932168869,0.0817,7e-04,9.8882,0.0817 (7e-04;9.8882),0.989676920858447
K02460,0.454089125719821,24,27,Control,-0.75,1.9714,-0.0141,0.158133821675136,-0.145969681546279,0.3654,0.0042,31.9148,0.3654 (0.0042;31.9148),0.790884774463754
K02461,0.690178141283262,25,26,Control,-0.4,1.8469,0,0.164835101055691,-0.152155477897561,0.0463,1e-04,31.6087,0.0463 (1e-04;31.6087),0.942025833013478
K02462,0.883595083368329,26,25,Case,0.15,1.8774,-0.0252,0.179070329783017,-0.165295689030478,0.0943,0.0017,5.2452,0.0943 (0.0017;5.2452),0.989676920858447
K02464,0.550927940909379,24,27,Control,-0.6,2.006,-0.0523,0.155260955938361,-0.143317805481564,0.4844,0.031,7.5669,0.4844 (0.031;7.5669),0.864549615459477
K02465,0.88301140777876,26,25,Case,0.15,-10.5882,13.553,-0.0226446109563239,0.0209027178058373,1.0457,0.5946,1.8392,1.0457 (0.5946;1.8392),0.989676920858447
K02492,0.19844192302749,23,28,Control,-1.29,-9.9473,7.8099,-0.0422927551163593,0.0390394662612545,1.0872,0.6175,1.914,1.0872 (0.6175;1.914),0.542697619179802
K02495,0.0661849932833277,22,29,Control,-1.84,-0.8034,1.9619,-0.288156898372975,0.265990983113515,1.8755,0.9773,3.5992,1.8755 (0.9773;3.5992),0.346008988141676
K02496,0.885246878046434,25,26,Control,-0.15,1.9676,-0.1261,0.17603689643352,-0.162495596707864,0.2749,0.015,5.0241,0.2749 (0.015;5.0241),0.989676920858447
K02500,0.870072108910591,25,26,Control,-0.17,-7.0886,7.2934,-0.0526566719095155,0.0486061586857061,1.1091,0.6319,1.9467,1.1091 (0.6319;1.9467),0.989676920858447
K02501,0.434965980721867,24,27,Control,-0.79,-2.3582,2.8716,-0.150693044386893,0.139101271741747,1.353,0.7577,2.4162,1.353 (0.7577;2.4162),0.77603454338314
K02502,0.0239774387198149,21,30,Control,-2.24,-0.7287,1.9911,-0.293668466549288,0.271078584507035,1.9137,0.9845,3.72,1.9137 (0.9845;3.72),0.242798568658306
K02517,0.160501491044013,29,23,Case,1.41,2.5741,-1.1494,0.223416809352718,-0.206230900940971,0.6336,0.3493,1.1491,0.6336 (0.3493;1.1491),0.506751898689524
K02527,0.0578545795426941,30,22,Case,1.89,1.8348,-1.0486,0.281960931418679,-0.260271629001857,0.553,0.2968,1.0305,0.553 (0.2968;1.0305),0.32842700710095
K02535,0.339531161971321,28,24,Case,0.96,2.4709,-1.0408,0.166475614112664,-0.153669797642459,0.6651,0.3051,1.4502,0.6651 (0.3051;1.4502),0.691364177637255
K02536,0.0605307709448935,30,22,Case,1.87,1.871,-0.8753,0.302367002028579,-0.279108001872534,0.5229,0.2759,0.991,0.5229 (0.2759;0.991),0.333512679127747
K02548,0.0552756379895714,30,22,Case,1.91,1.9921,-1.0903,0.289740835891947,-0.267453079284874,0.5485,0.2986,1.0074,0.5485 (0.2986;1.0074),0.321300219230542
K02549,0.0894115491761765,29,22,Case,1.7,2.126,-0.9813,0.253220426737207,-0.233741932372807,0.5904,0.3195,1.0909,0.5904 (0.3195;1.0909),0.394112083427539
K02551,0.0138805787445467,31,21,Case,2.44,1.8809,-0.6986,0.331966028608506,-0.306430180254006,0.4918,0.2598,0.931,0.4918 (0.2598;0.931),0.241203117614782
K02552,0.114071773942067,22,29,Control,-1.58,2.9147,-0.5129,0.123005871051573,-0.113543880970683,0.7427,0.3384,1.6301,0.7427 (0.3384;1.6301),0.445196784412789
K02560,0.946305810934461,25,26,Control,-0.07,2.0903,-0.247,0.204115120938806,-0.188413957789667,0.5203,0.1552,1.7445,0.5203 (0.1552;1.7445),0.992208704748446
K02586,0.138382343903378,22,28,Control,-1.49,-1.5046,2.5582,-0.197138734761142,0.181974216702593,1.511,0.8178,2.7918,1.511 (0.8178;2.7918),0.481553419651384
K02588,0.0605307709448935,21,29,Control,-1.87,-1.4812,2.641,-0.168480216258495,0.155520199623226,1.4401,0.7562,2.7423,1.4401 (0.7562;2.7423),0.333512679127747
K02591,0.0480973723680217,21,29,Control,-1.97,-1.6118,2.6726,-0.159793270037194,0.147501480034333,1.4193,0.7383,2.7286,1.4193 (0.7383;2.7286),0.303187634616318
K02626,0.170990075300361,23,28,Control,-1.37,-3.9112,4.3903,-0.0876908133480364,0.0809453661674184,1.1936,0.6667,2.1371,1.1936 (0.6667;2.1371),0.515659494079185
K02634,0.411789982171742,27,24,Case,0.82,-7.945,12.3304,-0.0343427475754758,0.0317009977619776,1.0705,0.6064,1.8899,1.0705 (0.6064;1.8899),0.750317525706432
K02635,0.971940274863043,25,26,Control,-0.04,-5.6434,8.4738,-0.055060939576475,0.050825482685977,1.1158,0.6304,1.9749,1.1158 (0.6304;1.9749),0.99647828572355
K02689,0.0188657846847499,21,30,Control,-2.35,-0.2752,1.8117,-0.289793021058028,0.26750125020741,3.5503,0.9629,13.0894,3.5503 (0.9629;13.0894),0.242798568658306
K02690,0.416316150483516,24,27,Control,-0.81,-0.149,2.1069,-0.237501633425826,0.219232277008455,2.9715,0.7305,12.0871,2.9715 (0.7305;12.0871),0.755960182784284
K02703,0.0732600094353311,22,29,Control,-1.79,-0.5419,2.0215,-0.239705026827888,0.221266178610359,2.205,0.7768,6.2589,2.205 (0.7768;6.2589),0.362750002666573
K02704,0.0509708537793623,22,29,Control,-1.95,-0.3466,1.9559,-0.328527583818868,0.303256231217416,2.5725,1.0663,6.2064,2.5725 (1.0663;6.2064),0.311365432869583
K02705,0.695547903224237,25,26,Control,-0.39,-1.6951,3.6232,-0.14064638029698,0.129827427966443,1.3427,0.7267,2.4807,1.3427 (0.7267;2.4807),0.942210890845673
K02706,0.39160436281179,27,24,Case,0.86,-3.0681,6.5032,-0.0621370589863057,0.0573572852181283,1.1356,0.6271,2.0568,1.1356 (0.6271;2.0568),0.734830223373042
K02744,0.556880713160731,24,27,Control,-0.59,-6.6936,7.9485,-0.0427617464649089,0.0394723813522235,1.0887,0.6158,1.9246,1.0887 (0.6158;1.9246),0.864549615459477
K02745,0.678941086483524,26,25,Case,0.42,2.7089,-1.0318,0.15092688938629,-0.139317128664267,0.696,0.3244,1.4934,0.696 (0.3244;1.4934),0.937505873719264
K02746,0.721761172145987,26,25,Case,0.36,3.2802,-1.7898,0.128973517583363,-0.119052477769258,0.7669,0.4183,1.406,0.7669 (0.4183;1.406),0.942229451210324
K02747,0.664882949086388,26,25,Case,0.44,3.1014,-1.5772,0.138924131120509,-0.128237659495855,0.7439,0.3934,1.4067,0.7439 (0.3934;1.4067),0.929512978573508
K02749,0.650939583685405,24,26,Control,-0.46,3.1619,-1.0856,0.127161652327617,-0.117379986763954,0.7575,0.3897,1.4723,0.7575 (0.3897;1.4723),0.922643243458254
K02752,0.885246878046434,25,26,Control,-0.15,1.9989,-0.1388,0.174705255363639,-0.161266389566436,0.3735,0.0332,4.2036,0.3735 (0.0332;4.2036),0.989676920858447
K02755,0.105327374677274,22,29,Control,-1.62,-1.5835,2.8403,-0.169806966869773,0.156744892495175,1.434,0.7675,2.6793,1.434 (0.7675;2.6793),0.432072880062978
K02756,0.0029105421332193,19,31,Control,-2.92,-0.3402,1.7817,-0.347011836331397,0.320318618152059,2.6731,1.034,6.9105,2.6731 (1.034;6.9105),0.163572467886925
K02759,0.258477438046732,23,28,Control,-1.14,7.0855,-3.9921,0.0496550906109522,-0.0458354682562636,0.9061,0.5112,1.6063,0.9061 (0.5112;1.6063),0.61814604332878
K02760,0.242424509473753,23,28,Control,-1.17,9.1436,-6.0912,0.0355041604595519,-0.0327730711934326,0.9324,0.5296,1.6418,0.9324 (0.5296;1.6418),0.591074075159433
K02761,0.101155518200909,22,29,Control,-1.64,-2.0973,3.1276,-0.126555546839311,0.116820504774748,1.3036,0.7055,2.4088,1.3036 (0.7055;2.4088),0.422672128095991
K02763,0.128226419443286,22,29,Control,-1.52,-3.699,4.1256,-0.102289155110971,0.0944207585639731,1.2269,0.6905,2.1801,1.2269 (0.6905;2.1801),0.460468036595059
K02768,0.191707850908558,23,28,Control,-1.31,-1.7537,3.2955,-0.158033160739978,0.145876763759979,1.3804,0.764,2.4943,1.3804 (0.764;2.4943),0.537355671873365
K02769,0.69310975436134,25,26,Control,-0.4,2.8449,-0.5718,0.137795876882807,-0.127196194045668,0.7044,0.3019,1.6436,0.7044 (0.3019;1.6436),0.942025833013478
K02770,0.69310975436134,25,26,Control,-0.4,-3.8749,5.6196,-0.0853502765404826,0.0787848706527532,1.1849,0.67,2.0953,1.1849 (0.67;2.0953),0.942025833013478
K02771,0.0691680989243748,22,29,Control,-1.82,-0.559,2.0512,-0.280896028421651,0.259288641619986,2.0921,0.9298,4.7074,2.0921 (0.9298;4.7074),0.350202446806294
K02773,0.493947817024109,24,27,Control,-0.69,3.0728,-0.8581,0.110749371129399,-0.10223018873483,0.7749,0.3744,1.6037,0.7749 (0.3744;1.6037),0.818875142087166
K02774,0.128226419443286,22,29,Control,-1.52,4.8921,-2.2893,0.0678685388194509,-0.0626478819871855,0.8706,0.4779,1.5858,0.8706 (0.4779;1.5858),0.460468036595059
K02775,0.0138805787445467,31,21,Case,2.44,1.5136,-0.6633,0.388364227053164,-0.358490055741382,0.4202,0.2131,0.8286,0.4202 (0.2131;0.8286),0.241203117614782
K02777,0.885246878046434,25,26,Control,-0.15,3.0921,-1.0194,0.1314230719961,-0.121313604919477,0.7412,0.3651,1.5047,0.7412 (0.3651;1.5047),0.989676920858447
K02778,0.765455087307519,25,26,Control,-0.3,3.0639,-1.0948,0.120081300876262,-0.110844277731934,0.7582,0.3671,1.5659,0.7582 (0.3671;1.5659),0.962384248471646
K02781,0.310902987491349,23,28,Control,-1.02,6.1517,-3.7865,0.0542980108233998,-0.0501212407600613,0.8978,0.5065,1.5917,0.8978 (0.5065;1.5917),0.66436303790927
K02782,0.349431245115393,23,27,Control,-0.94,3.5776,-1.5004,0.0889346297414567,-0.0820935043767293,0.8293,0.4423,1.555,0.8293 (0.4423;1.555),0.703872257185845
K02783,0.283886478397828,23,28,Control,-1.08,4.7054,-2.6311,0.0669230111012004,-0.0617750871703389,0.8741,0.4871,1.5685,0.8741 (0.4871;1.5685),0.647238137361377
K02786,0.785726592438544,25,26,Control,-0.27,2.8636,-1.0398,0.135917244613681,-0.12546207195109,0.733,0.3598,1.4932,0.733 (0.3598;1.4932),0.968373563487855
K02787,0.0932001127011588,22,29,Control,-1.68,-2.8214,3.602,-0.104907055598579,0.0968372820909957,1.2412,0.6817,2.2598,1.2412 (0.6817;2.2598),0.40446689836333
