,p.value,Case_rank,Control_rank,Enrichment,qnorm,Case_Mean1,Control_Mean1,Case_Mean2,Control_Mean2,OR,lower,uper,com,FDR
K01113,0.275238691174981,23,28,Control,-1.1,-2.253,2.9861,-0.149877579402781,0.138348534833336,1.3573,0.7515,2.4514,1.3573 (0.7515;2.4514),0.636560265186582
K01132,0.726469937367098,25,26,Control,-0.35,42.65,-39.0378,0.00784728921033484,-0.0072436515787705,0.9847,0.5624,1.7242,0.9847 (0.5624;1.7242),0.947276345244337
K01135,0.469864284436191,24,27,Control,-0.73,-5.2712,6.3679,-0.0745665861224451,0.0688306948822571,1.1587,0.6582,2.0399,1.1587 (0.6582;2.0399),0.803846964545325
K01136,0.481825693345,24,27,Control,-0.71,-40.0783,37.2172,-0.00964748672577607,0.00890537236225496,1.0191,0.5816,1.7858,1.0191 (0.5816;1.7858),0.809524782241824
K01137,0.870072108910591,25,26,Control,-0.17,12.3601,-7.9279,0.0396058954788448,-0.0365592881343183,0.9252,0.5278,1.6219,0.9252 (0.5278;1.6219),0.989676920858447
K01184,0.699707925340502,25,26,Control,-0.39,-15.2153,17.6771,-0.0202351499536667,0.0186785999572308,1.0407,0.5928,1.827,1.0407 (0.5928;1.827),0.942229451210324
K01195,0.930998043449749,26,25,Case,0.09,24.7922,-15.935,0.0207542638878859,-0.0191577820503563,0.9601,0.548,1.682,0.9601 (0.548;1.682),0.992208704748446
K01197,0.596394520949954,27,24,Case,0.53,4.8493,-2.9207,0.0945610805274908,-0.0872871512561456,0.8288,0.4677,1.4685,0.8288 (0.4677;1.4685),0.894854786904452
K01205,0.915715300438421,26,25,Case,0.11,39.01,-40.6977,0.0105926886052508,-0.00977786640484702,0.9794,0.5592,1.7154,0.9794 (0.5592;1.7154),0.989676920858447
K01213,0.242424509473753,28,23,Case,1.17,2.7836,-2.3067,0.150603316982448,-0.139018446445336,0.736,0.4067,1.3319,0.736 (0.4067;1.3319),0.591074075159433
K01228,0.267290138323577,23,28,Control,-1.11,-3.3548,4.6208,-0.0955497134796443,0.0881997355196717,1.2126,0.6777,2.1695,1.2126 (0.6777;2.1695),0.625904407241043
K01243,0.219658488084314,28,23,Case,1.23,2.6402,-1.5285,0.200879623975817,-0.185427345208448,0.6645,0.3675,1.2014,0.6645 (0.3675;1.2014),0.563689818736915
K01251,0.0116828175833606,20,30,Control,-2.5,-0.6534,1.6772,-0.344424441405669,0.317930253605233,2.2361,1.1014,4.5395,2.2361 (1.1014;4.5395),0.241203117614782
K01431,0.852359772449989,25,26,Control,-0.19,2.271,-0.6996,0.183245296974463,-0.169149504899504,0.6517,0.311,1.3656,0.6517 (0.311;1.3656),0.989676920858447
K01438,0.0252661277925963,30,21,Case,2.22,1.6439,-0.6814,0.344262483789863,-0.317780754267566,0.4659,0.2377,0.9132,0.4659 (0.2377;0.9132),0.251319713618392
K01439,0.178737668236209,23,28,Control,-1.35,-2.7569,3.9611,-0.122060730662636,0.112671443688587,1.2811,0.7123,2.3039,1.2811 (0.7123;2.3039),0.516455370430589
