ID,KO_sum,Case_KO_Num,Control_KO_Num,NS;Case;Control,zscore_two,zscore_less,zscore_greater,zscore_adj_two,zscore_adj_less,zscore_adj_greater
M00237,5,5,5,1; 4; 0,4.18173764816655,4.84729067339721,-4.89236151711782,2.57078106803696,2.99459128054796,-3.0650967270999
M00238,3,3,3,1; 2; 0,2.3585053710689,2.99266334564995,-3.02700816527237,1.32765050485036,1.65318407077394,-1.75177124936886
M00239,5,5,5,5; 0; 0,2.69188170073309,3.53390557464426,-3.57795625786124,1.47027321560296,1.92160737610149,-1.97050141921287
M00240,3,3,3,3; 0; 0,0.22011927709935,1.33047069707253,-1.36399601397043,-0.255889631902549,0.295550908011293,-0.343277489671766
M00241,3,3,3,3; 0; 0,-2.27174771379833,0.252441573474805,-0.286112713154412,-2.10119315621193,-0.584953580967649,0.569639413366198
M00242,3,3,3,3; 0; 0,0.997785417700923,1.87956190775121,-1.91327568539619,0.319995868900685,0.744033481699045,-0.808491763016661
M00243,3,3,3,1; 2; 0,3.02825225614929,3.59224720221035,-3.62608880372479,1.82361850472697,2.14290764657015,-2.25916461997953
M00244,3,3,3,3; 0; 0,-0.75659013695642,-0.896285803642377,0.862837966976744,-0.979172748765053,-1.52320245571894,1.54274707340196
M00245,4,4,4,1; 3; 0,3.98382355536688,4.66279809316806,-4.70378661841956,2.32610052513608,3.04890846243163,-2.95662861231923
M00246,4,4,4,0; 4; 0,5.14757937526047,5.61169599498778,-5.65327395126583,3.12295861320495,3.85626995401381,-3.75523459254269
M00247,3,3,3,0; 3; 0,3.39949812247573,3.88719476326183,-3.92216522573698,2.09853739406572,2.3838126887758,-2.50992754583737
M00248,2,2,2,1; 1; 0,1.50679845211147,2.27862246583868,-2.30693063793975,0.73964073975573,1.21714500097212,-1.23104385242897
M00249,3,3,3,3; 0; 0,-0.512657673818269,0.880471151279807,-0.913969350078472,-0.79853331834339,-0.0719963237245644,0.0378741136360558
M00250,2,2,2,2; 0; 0,1.61837413829401,2.16567746183695,-2.19350031500533,0.812403911859816,1.12302040501261,-1.13805931575437
M00251,2,2,2,2; 0; 0,1.38197824010648,1.96714026836812,-1.99472241672428,0.65824025835221,0.957566135624114,-0.975111082031206
M00253,2,2,2,2; 0; 0,-0.298373718265575,0.776250949633429,-0.803540176893724,-0.437587541823057,-0.0348812678633046,0.00136086832799549
M00254,2,2,2,1; 1; 0,2.21390110667942,2.68743833294758,-2.71565450876848,1.20077195848206,1.55783849736502,-1.56609535165486
M00255,2,2,2,1; 0; 1,2.02584617799347,-2.54390162814147,2.51584459121912,1.07813347326038,-2.80178559151257,2.72242739377656
M00256,2,2,2,2; 0; 0,1.29741927021923,0.207571234477319,-0.235252465612601,0.603095817037423,-0.508799958579498,0.467214867191158
M00258,2,2,2,1; 1; 0,1.32035780517185,2.02534863800634,-2.05328461494615,0.618054995185272,1.00607504774541,-1.02311745922766
M00259,3,3,3,3; 0; 0,-1.67832385879436,-0.450328479974363,0.416960187438003,-1.66174468843733,-1.1589567996533,1.16510938171327
M00260,10,10,10,8; 2; 0,0.416956335335599,2.2685252870914,-2.33038260326203,-0.339304516272585,0.450820701153442,-0.428993394051939
M00265,2,2,2,2; 0; 0,-1.36159950520741,0.312998129334139,-0.340224489545796,-1.13096155158876,-0.420940703808818,0.381164023318787
M00266,2,2,2,2; 0; 0,-1.23559267112884,-0.177001039936064,0.149768087943667,-1.04878722429536,-0.829289654129316,0.782835565929032
M00267,2,2,2,2; 0; 0,0.337760355747645,0.724712755219957,-0.752309257593428,-0.0227379030498871,-0.0778314786187633,0.043357427725129
M00268,2,2,2,2; 0; 0,-1.1239392392489,0.421986080975459,-0.449227107509617,-0.975973350969948,-0.330113783190566,0.291809098943377
M00269,2,2,2,2; 0; 0,2.16025160254674,2.62627829211612,-2.65438834198937,1.16578487271036,1.50686976100516,-1.51587239553159
M00270,3,3,3,3; 0; 0,-0.523744473707405,1.134771483236,-1.16837593145701,-0.806743431878128,0.135709181567346,-0.177596399923939
M00271,2,2,2,1; 1; 0,2.83511639545813,3.25027914032286,-3.27906947451949,1.60589243335992,2.02689123725344,-2.02795491610464
M00272,2,2,2,2; 0; 0,-1.69936388379287,0.20410092732596,-0.231318518936163,-1.35123183134698,-0.511691996712252,0.470439721000509
M00273,3,3,3,3; 0; 0,-0.0795293381353394,1.20944507822805,-1.24298320947819,-0.477788572643284,0.196700516735793,-0.240785286089654
M00274,2,2,2,2; 0; 0,0.0104511322529035,1.00931981192083,-1.03668734627905,-0.236189938840535,0.159350541568543,-0.189761584305951
M00275,3,3,3,3; 0; 0,1.51356200038764,2.27373388806317,-2.30761926499275,0.70194416279625,1.06598229597238,-1.1424823899664
M00276,4,4,4,4; 0; 0,0.702445005942649,1.82302194467368,-1.86180629056428,0.0792434160876522,0.632709730606919,-0.566262351508757
M00277,4,4,4,4; 0; 0,-0.810856626164441,-0.336764354548011,0.298205531928839,-0.956959045475651,-1.20492557735867,1.25050581287039
M00278,4,4,4,4; 0; 0,0.279865009586666,-1.0606790653984,1.02131597873671,-0.210109627047436,-1.82086208602797,1.85870805760357
M00279,3,3,3,2; 0; 1,1.9344878641039,-0.159092527930237,0.124808494113181,1.01365260575322,-0.921083297431851,0.917670518076099
M00280,3,3,3,3; 0; 0,0.838014284532858,1.74397405376295,-1.77761822221443,0.201680470769533,0.633289057940572,-0.693596216283427
M00281,2,2,2,2; 0; 0,0.374499715828235,1.37929479601797,-1.40699601437072,0.00122137044419939,0.46767534266142,-0.493322211114686
M00282,1,1,1,1; 0; 0,1.13481500266743,1.52113318033533,-1.54079526586296,0.567740580892602,0.800688686571823,-0.857807092924737
M00283,3,3,3,3; 0; 0,0.22443605370398,1.31888947503995,-1.35240142361319,-0.252692927138098,0.286091684912094,-0.333457412198713
M00287,4,4,4,4; 0; 0,-1.50744245729929,-0.0704008558251015,0.0316184905125125,-1.43393200155911,-0.978292521031363,1.02628164667014
M00290,4,4,4,3; 1; 0,2.64516552550639,3.50955046780764,-3.5487905397758,1.40948171213611,2.06767779347448,-1.98517091759199
M00291,1,1,1,1; 0; 0,1.50482145356047,1.83716871030979,-1.85703108420093,0.818377819542645,1.06455419623436,-1.12524933736548
M00292,1,1,1,1; 0; 0,1.50482145356047,1.83716871030979,-1.85703108420093,0.818377819542645,1.06455419623436,-1.12524933736548
M00295,3,3,3,2; 1; 0,1.75184845871964,2.56882064111061,-2.60310387086002,0.878402554420448,1.30700102636564,-1.39274407514096
M00296,1,1,1,1; 0; 0,0.785015356222799,1.236635908456,-1.25611048969152,0.330791151351473,0.563155211623269,-0.61704772576149
M00299,5,5,5,5; 0; 0,-1.77224904196667,-0.313919772152279,0.27067997006581,-1.82723413408164,-1.22191440448972,1.23452163375005
M00300,4,4,4,4; 0; 0,-1.11974702332591,0.369343463926548,-0.408204989821808,-1.16846545180016,-0.604139907532448,0.656349737642184
M00302,2,2,2,2; 0; 0,-2.20837721188016,-0.160723676192827,0.127650030501453,-1.68318071431681,-0.815724642563205,0.764704282598425
M00303,2,2,2,2; 0; 0,-1.85523904173898,0.170843726116309,-0.198211174412077,-1.45288454200858,-0.539407437995112,0.497579475269551
M00304,1,1,1,1; 0; 0,1.48201539815825,1.8173201985667,-1.83716871030979,0.802929313883578,1.04798220615604,-1.10845162646326
M00305,1,1,1,1; 0; 0,0.25945239104418,-0.865282584916602,0.845838032446566,-0.0252179128450232,-1.19178605896013,1.1605808598111
M00306,3,3,3,3; 0; 0,-0.562104130361029,-0.491619689819318,0.458155384053445,-0.835149927839909,-1.192682322302,1.1999997926564
M00307,9,9,9,6; 3; 0,1.95398322257691,4.04229501164189,-4.10197720158468,0.761140595027706,1.8971320086735,-1.93625174790241
M00308,3,3,3,2; 1; 0,1.54311288744893,1.51654449836425,-1.55061346054698,0.72382749615227,0.447530862664057,-0.50133376649927
M00309,1,1,1,0; 1; 0,2.00009397095092,2.27768991807343,-2.29790765364905,1.15386855447008,1.43235573112224,-1.49810090071536
M00310,4,4,4,4; 0; 0,0.0388313181421599,1.37783858885342,-1.41649529415594,-0.375152536600587,0.253929360776475,-0.191714937879867
M00311,4,4,4,4; 0; 0,-0.645119665601585,-1.09824164726295,1.05963756091949,-0.843474038347146,-1.85282188071576,1.89094002494436
M00312,1,1,1,1; 0; 0,0.701490385580259,1.17124946862102,-1.19093433363985,0.274212494547935,0.508562532523327,-0.561927918175842
M00313,2,2,2,2; 0; 0,-0.875102191352113,0.490009057613173,-0.517253211322479,-0.81369630333106,-0.273425705231053,0.236044682681654
M00314,2,2,2,1; 1; 0,1.31555705629031,0.932009093903799,-0.960555438113393,0.614924226027155,0.0949223699906225,-0.127352432821574
M00315,1,1,1,1; 0; 0,-1.04167895789779,-0.207305778724721,0.187562371227129,-0.906586244755789,-0.642425721766458,0.603873775766967
M00317,4,4,4,4; 0; 0,0.931384733280062,2.0150256555301,-2.05387270498831,0.236005230113021,0.79607441092614,-0.727807831741027
M00319,4,4,4,3; 1; 0,3.16399062450783,3.88640935926608,-3.92559330814942,1.76473662847262,2.38832488958504,-2.30209662452678
M00320,3,3,3,2; 0; 1,1.7568317538533,-2.53787748213897,2.50381359282745,0.882092836488635,-2.86400931366622,2.93257692342217
M00324,5,5,5,5; 0; 0,-2.13541824454155,0.551826897358527,-0.595172482069496,-2.09549534408946,-0.514633468688604,0.513466978227865
M00325,3,3,3,3; 0; 0,1.2033559875724,0.887880900013463,-0.921576110362181,0.472227147080369,-0.0659442450938719,0.0314315423158594
M00326,1,1,1,1; 0; 0,0.440439160815503,-0.99390990632544,0.974497593211919,0.0973800151051264,-1.2991800400192,1.26938890654246
M00328,1,1,1,1; 0; 0,0.306747785267769,0.878785338429407,-0.901033068516228,0.006819331317761,0.264377339873445,-0.316756939700493
M00330,1,1,1,1; 0; 0,-0.757377906727567,0.28507294683528,-0.307001635053378,-0.714004655330452,-0.231327123525367,0.185618473270184
M00331,13,13,13,13; 0; 0,-2.70007609171727,0.73645477764854,-0.807882560538547,-2.9317493935289,-1.10817011121608,1.01547732099815
M00332,14,14,14,14; 0; 0,-2.24229768946992,1.33462077334749,-1.40724876452655,-2.28227813946641,-0.665998612171001,0.654263110743873
M00333,11,11,11,11; 0; 0,2.19301083386563,3.17101101966131,-3.2358177835629,0.834771081268034,1.11341490272029,-1.11675697590882
M00334,7,7,7,7; 0; 0,-2.63346238135882,-0.510793715845963,0.459626595694911,-2.1507227342489,-1.62931827101921,1.61761028073188
M00335,13,13,13,12; 1; 0,1.68553532072547,1.08459796308703,-1.1551184852503,0.386694983747284,-0.808600549763473,0.737094461775468
M00336,4,4,4,4; 0; 0,-1.39183108425829,0.133032290546915,-0.171696692263387,-1.35476946926012,-0.805203205334496,0.855274919968133
M00338,2,2,2,0; 2; 0,3.53846369258101,3.87791665279978,-3.90726469007822,2.06457462641196,2.5499433881039,-2.54291810715273
M00339,1,1,1,1; 0; 0,-2.42395867027315,0.00962080867884164,-0.0288624893176815,-1.84292335270499,-0.461308603228482,0.420842167389765
M00342,2,2,2,0; 2; 0,4.61095168854822,4.88217165336948,-4.90975645062772,2.76398891011579,3.38685598113447,-3.36471098813292
M00343,1,1,1,0; 1; 0,2.17521637163588,2.43706657598717,-2.45648543316636,1.27249404012717,1.56542305767289,-1.63221093763475
M00344,3,3,3,2; 1; 0,0.657077629864444,1.88052829455182,-1.91449645138141,0.0676913582864087,0.744822799814299,-0.809525694891955
M00345,5,5,5,4; 1; 0,2.19151737768618,3.16413939888594,-3.20809858542492,1.1006704580078,1.6195229719354,-1.66249559682001
M00346,7,7,7,7; 0; 0,1.24214765254863,1.0406450408611,-1.09247891694672,0.378363874660607,-0.359666468864877,0.332426145206843
M00347,16,16,16,10; 6; 0,3.86516508360292,4.74712557069122,-4.82685372870654,1.87442096501266,2.12293617061308,-2.14860094928691
M00348,4,4,4,4; 0; 0,-0.0443484305378835,1.40824763259613,-1.44695196836774,-0.432108174859212,0.27980263003613,-0.217331795864004
M00349,4,4,4,4; 0; 0,0.230827962346272,-0.0061726318290535,-0.032706538528409,-0.243686746096427,-0.923644497647941,0.972178394216907
M00350,2,2,2,2; 0; 0,-0.206603595357161,1.16575403680064,-1.19352568444795,-0.377740405984939,0.28971760243318,-0.318329852738722
M00353,1,1,1,1; 0; 0,1.24587340032622,1.6145626539007,-1.63594758971395,0.642969999328185,0.878695155217362,-0.938277898503327
M00354,1,1,1,1; 0; 0,-1.61004341769397,-0.0865892092557421,0.0673465606836246,-1.29158844784256,-0.541636613876533,0.502206651663214
M00355,3,3,3,3; 0; 0,-0.713281551453407,1.02232950577484,-1.05699814265181,-0.947101420016974,0.043869672098617,-0.0832646054279304
M00356,5,5,5,1; 4; 0,4.51969339077618,5.14075728017903,-5.18583325267891,2.82041791994722,3.2343419415448,-3.30949074673759
M00357,8,8,8,3; 5; 0,3.90643790295567,4.59296474728607,-4.64958776084727,2.16253995503058,2.46494184007485,-2.50836643137394
M00358,2,2,2,1; 1; 0,1.1710809442065,1.91318103276948,-1.94104593180148,0.52070530998765,0.912598309965108,-0.931109769580095
M00359,21,21,21,18; 3; 0,-0.0300786318392327,3.75873420977417,-3.84808824440057,-0.905349395265459,1.03601308643018,-1.01536418425681
M00360,29,29,29,25; 4; 0,0.476208498404637,4.21557755614673,-4.32050335225196,-0.701948814219923,1.07019781136207,-1.0388642456841
M00361,6,6,6,5; 0; 1,1.40225252777361,-0.775513375342031,0.727572389648472,0.477927393473283,-1.77607212380806,1.80502317223442
M00362,9,9,9,8; 0; 1,1.28371701429205,0.255512822225893,-0.31415326335341,0.283259494289635,-1.18079559241313,1.16087298100941
M00364,4,4,4,3; 1; 0,0.511370084490215,1.22360992931865,-1.26227746573722,-0.0515912435408761,0.122705252926807,-0.0620035917968449
M00365,2,2,2,1; 1; 0,1.21034940087477,1.26642592596057,-1.2937949480951,0.546313913157163,0.373614194189585,-0.400525607645658
M00366,2,2,2,2; 0; 0,-0.00671295763447529,0.259671338112407,-0.28701190202659,-0.247383359819744,-0.465381471436624,0.424785055752859
M00367,1,1,1,1; 0; 0,-0.314458395137671,-0.510303629358494,0.491018243181651,-0.413977120509963,-0.895405765784279,0.860507954370689
M00368,1,1,1,1; 0; 0,-0.723960760851361,-0.317583194013338,0.298325049743099,-0.691368344137059,-0.734498933888367,0.697546337901979
M00373,8,8,8,7; 1; 0,-1.00764377150389,1.95801580530355,-2.01335524444838,-1.25543948417876,0.321408314511744,-0.324036337332781
M00374,28,28,28,23; 4; 1,2.91567508733653,2.41448064652543,-2.51887531630094,0.940680211005437,-0.443192277412319,0.411294540621052
M00375,19,19,19,17; 2; 0,-0.234610144636032,3.53698040349203,-3.62259376637598,-1.00039302363562,0.868420972802415,-0.936203746503622
M00376,27,27,27,25; 1; 1,1.06631978243401,2.43013526192657,-2.53196490784812,-0.305465979936208,-0.395719020729737,0.305839661341244
M00377,14,14,14,11; 3; 0,3.01191177154935,3.30453357673213,-3.37805466072953,1.36832682788266,0.959010142580769,-0.985546527954988
M00378,4,4,4,4; 0; 0,-4.72888947164203,0.891060954629468,-0.931121920331304,-3.63975221296657,-0.160241137527106,0.216528611631869
