ID,KO_sum,Case_KO_Num,Control_KO_Num,NS;Case;Control,zscore_two,zscore_less,zscore_greater,zscore_adj_two,zscore_adj_less,zscore_adj_greater
M00018,9,9,9,5; 3; 1,3.17819661037042,2.84110062878251,-2.90076208013378,1.63397057521433,0.920791368959214,-0.954074878529334
M00019,10,10,10,9; 1; 0,0.214236770144329,2.62104737063336,-2.68272516940038,-0.475732415395957,0.740514040838855,-0.716555175527302
M00020,3,3,3,2; 1; 0,2.69118454875669,1.8134407519911,-1.84823077922584,1.57400958472665,0.690027543279729,-0.753401759994552
M00021,3,3,3,3; 0; 0,1.01712712540903,0.236389301467293,-0.270107027138664,0.33431899350176,-0.598064634511133,0.583195483209226
M00022,11,11,11,7; 4; 0,2.55646478685005,3.92501244232824,-3.99119740748508,1.0896206050899,1.74097136875169,-1.76581922903997
M00023,10,10,10,10; 0; 0,-1.64533994427165,0.621389944031529,-0.682363006756175,-1.72720581988529,-0.902751630118946,0.91602562045863
M00024,10,10,10,6; 3; 1,2.70506515996483,1.46381815309824,-1.52708676476809,1.20056599210821,-0.210466372759497,0.226610568026141
M00025,11,11,11,5; 4; 2,3.69336823330484,1.9982436200185,-2.06499938554689,1.88680357581096,0.137318913148407,-0.110727684996983
M00026,13,13,13,9; 4; 0,2.03138839669074,3.25265473593774,-3.32354380203798,0.648390352389479,1.05696466539135,-1.00135595979106
M00027,4,4,4,4; 0; 0,0.247887056601406,0.550096821602,-0.588982243895527,-0.232005878856102,-0.450347491950664,0.504299477257065
M00028,8,8,8,5; 2; 1,2.49700679569756,1.1822839421425,-1.23817725890247,1.18221303644714,-0.309650310207621,0.318260801304713
M00029,4,4,4,3; 1; 0,1.27106903514601,1.29766130046967,-1.33690494961757,0.468597135308959,0.185711215266427,-0.124772154213806
M00030,6,6,6,6; 0; 0,0.964579247147912,1.85298733679085,-1.90175284051201,0.176888768418618,0.419352465475367,-0.448805887812336
M00031,3,3,3,3; 0; 0,-1.55922751267215,-0.478477151523969,0.445022521624656,-1.57355021094939,-1.18194785909287,1.1888768704556
M00032,9,9,9,9; 0; 0,-1.54061685951815,0.752988320369775,-0.812027541095862,-1.73041173631284,-0.776443430073018,0.753784699550031
M00033,5,5,5,3; 1; 1,1.15631636988436,0.117370121913846,-0.161483598000227,0.3360013368783,-0.869567545276253,0.874629423555787
M00034,13,13,13,11; 2; 0,-0.772217913710715,2.74774764596599,-2.82054250780224,-1.47300407176123,0.622503208601263,-0.59809429094648
M00035,4,4,4,2; 2; 0,2.51302525836164,3.20099575332965,-3.24118864374816,1.3190013563485,1.80514670974257,-1.72644949478021
M00036,9,9,9,9; 0; 0,0.12083442315577,1.62205897259012,-1.68222015404767,-0.545843339498407,-0.0700556808014098,0.0422693006194424
