"","Phylum","Estimate","Naive.S.E.","Naive.z","Robust.S.E.","Robust.z","p.value","FDR","Phenotype"
"20","Brucella",0.0432724410253543,0.0562397828283208,0.769427598208355,0.0166353098064536,2.60124046554078,0.00928873192936479,0.0185774638587296,"Valine"
"21","Acetivibrio",-0.108448585765797,0.0707122556881042,-1.53366039182994,0.0499633623535216,-2.17056220112762,0.0299642819684444,0.0584613101057987,"Serine"
"22","Coriobacterium",3.43031109759813e-06,0.000607602425370835,0.0056456507649793,1.57327611069783e-06,2.18036177774072,0.0292306550528994,0.0584613101057987,"Serine"
"23","Alistipes",-0.0825518948787755,0.0710280753920391,-1.16224316121661,0.0322928865632582,-2.55634920455517,0.0105776906841899,0.0383641700438075,"Tyrosine"
"24","Anaerofustis",-0.000121790136009438,0.00366762337627648,-0.0332068272869076,5.18948633117723e-05,-2.34686302722779,0.0189322131644821,0.0383641700438075,"Tyrosine"
"25","Atopobium",-0.0380945455726538,0.0553569158727618,-0.688162354640824,0.0185677725753116,-2.05164865188546,0.040203820340783,0.040203820340783,"Tyrosine"
"26","Brachyspira",-0.0764156353272232,0.0700279951547899,-1.091215522568,0.0295014291865162,-2.59023503044895,0.00959104251095189,0.0383641700438075,"Tyrosine"
"27","Anaerofustis",-0.10541243440928,0.0778065565525272,-1.35480143422253,0.0370389548337283,-2.84598836231981,0.00442738128950391,0.0177095251580156,"Asparagine"
"28","Capnocytophaga",-0.0862043201413815,0.0756031384112596,-1.1402214504966,0.0203465531075398,-4.23680215935135,2.26725742149818e-05,0.000113362871074909,"Asparagine"
"29","Coprococcus",-0.0817721666440312,0.0748788775018487,-1.09205919442385,0.0412982137926513,-1.9800412447519,0.0476988943527542,0.083764813731843,"Asparagine"
"30","Capnocytophaga",-0.0617870437967288,0.060817132746341,-1.01594799041963,0.0185045452580257,-3.3390198427022,0.000840745585381475,0.00168149117076295,"Aspartic"
"31","Alistipes",-0.0611073590008284,0.0594724585543567,-1.02749004305879,0.0231063840990982,-2.64460933128923,0.00817852808648213,0.0572496966053749,"Glutamine"
"32","Anaerofustis",-7.22738135700336e-06,0.000827998200413002,-0.00872874041682502,3.47424584013449e-06,-2.08027344337947,0.037500459185983,0.178604562056674,"Glutamine"
"33","Anaerotruncus",-0.00130736005079963,0.0104011081642768,-0.125694303929059,0.000625227092324968,-2.09101631526888,0.0365266014725099,0.178604562056674,"Glutamine"
"34","Brachyspira",-0.00445452780754155,0.0189733433169809,-0.23477822190435,0.00212111267046849,-2.10009014116052,0.0357209124113348,0.178604562056674,"Glutamine"
"35","Cellulosilyticum",-0.0414146572007328,0.0516732435335239,-0.801471987603494,0.0200035291342927,-2.07036752978425,0.0384179401185654,0.178604562056674,"Glutamine"
"36","Coprococcus",-0.000297067358459375,0.00497871346449653,-0.0596674945400611,0.000133193254368835,-2.23034837512675,0.0257243239864784,0.15434594391887,"Glutamine"
"37","Dehalococcoides",-7.01504918219538e-06,0.000817242180454979,-0.0085838070402704,3.49451058875412e-06,-2.00744825463426,0.0447019551412363,0.178604562056674,"Glutamine"
"38","Bifidobacterium",-0.0210693991758048,0.0441781491238475,-0.476919010724954,0.00989956295895576,-2.12831609467609,0.0333108845575187,0.099932653672556,"Glutamate"
"39","Brachyspira",-0.182332393682186,0.0857565994619051,-2.12616165783464,0.0422599795491243,-4.31454050918876,1.59935206209005e-05,9.59611237254031e-05,"Glutamate"
"40","Brucella",0.141103854617965,0.0805344816978802,1.75209241610702,0.0673114949997235,2.09628169183502,0.0360572098550674,0.099932653672556,"Glutamate"
"41","Corynebacterium",-0.0115117109383664,0.0339006890197064,-0.339571591942414,0.00580815331880009,-1.98199157400078,0.0474801837107841,0.099932653672556,"Glutamate"
"42","Akkermansia",-8.20303365501092e-05,0.00415700283378843,-0.0197330480228112,3.71197308612294e-05,-2.20988500312075,0.02711314430644,0.02711314430644,"Cysteine"
"43","Anaerofustis",-0.0765486825488245,0.0835835334362003,-0.915834487988647,0.0209590954458143,-3.65228941996692,0.000259912712158206,0.00129956356079103,"Cysteine"
"44","Bacteroides",0.364310118554636,0.122272128208236,2.97950255625056,0.102544228490663,3.55271207279898,0.000381281545182817,0.00152512618073127,"Cysteine"
"45","Burkholderia",-0.222250386639842,0.108260465318906,-2.05292288357668,0.040944659293629,-5.42806779868418,5.69674010745287e-08,3.98771807521701e-07,"Cysteine"
"46","Butyrivibrio",-0.121899748908855,0.101293090371927,-1.20343597437164,0.045216943284967,-2.695886542808,0.00702015735313072,0.0140403147062614,"Cysteine"
"47","Delftia",-0.360730178178496,0.123360010445434,-2.92420677394526,0.0673494478877379,-5.35609703556565,8.50388509121787e-08,5.10233105473072e-07,"Cysteine"
"48","Anaerofustis",-0.0481105607953137,0.0547549474583533,-0.87865230501603,0.0207657880791522,-2.31681844252347,0.0205136239687921,0.0533771190699348,"Alanine"
"49","Bifidobacterium",0.0470640998514976,0.0750040993284678,0.627487034347127,0.0173464894378265,2.71317721203391,0.00666414577606469,0.0266565831042588,"Proline"
"50","Bilophila",-0.0768701627242951,0.0898257874409384,-0.855769427847635,0.0341896888328277,-2.24834344354978,0.024554298528933,0.073662895586799,"Proline"
"51","Burkholderia",-0.0507874860534061,0.0763055068568397,-0.665580875423459,0.0235609808728301,-2.15557604870232,0.0311167844578679,0.073662895586799,"Proline"
"52","Collinsella",0.164746867796957,0.100554694712366,1.63838066704106,0.0385497408904845,4.27361803195991,1.92326398898557e-05,0.00013462847922899,"Proline"
"53","Coprococcus",-0.081675587855496,0.091556572281276,-0.89207782489471,0.0274182105874627,-2.97888104677564,0.00289303066159407,0.0144651533079703,"Proline"
